total,spatialLoc,hitung
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
21,4,16
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
21,4,16
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
23,2,4
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
24,1,2
